Wilayah;Kecamatan;Nama Faskes (Rumah Sakit dan Puskesmas);Jenis Penyakit;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;474;33;1.253;290;385;395;435;367;301;330;315
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit Infeksi dan parasit;180;234;545;143;204;188;180;200;194;240;255
Surabaya Utara;Krembangan;Puskesmas Dupak;Neoplasma;5;298;16;3;9;13;6;8;8;7;13
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4;41;14;11;3;3;3;5;2;8;5
Surabaya Utara;Krembangan;Puskesmas Dupak;Endokrin, nutrisi dan gangguan metabolik;56;28;209;28;61;44;80;70;80;102;68
Surabaya Utara;Krembangan;Puskesmas Dupak;Gangguan jiwa dan perilaku;27;0;48;4;15;22;12;15;4;10;6
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit yang mengenai sistem syaraf;28;0;70;6;39;47;15;28;27;26;28
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit mata dan adnexa;8;121;30;9;9;13;7;8;27;5;14
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit telinga dan mastoid;54;7;146;21;44;50;47;47;49;43;58
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem sirkulasi;70;632;226;38;73;87;85;68;79;93;74
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pernafasan;631;117;1.982;460;624;593;671;830;745;711;580
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pencernaan;330;19;992;256;409;383;383;374;398;455;469
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada kulit dan jaringan subcutaneous;120;1;380;70;115;136;137;172;119;157;184
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem musculoskletal;189;116;554;82;166;185;189;127;141;183;159
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem saluran kemih dan genital;38;19;103;25;37;31;38;39;35;48;51
Surabaya Utara;Krembangan;Puskesmas Dupak;Kehamilan dan kelahiran;52;21;141;24;51;41;45;54;30;40;56
Surabaya Utara;Krembangan;Puskesmas Dupak;Keadaan yang berasal dari periode perinatal;1;35;7;2;1;0;2;4;3;2;5
Surabaya Utara;Krembangan;Puskesmas Dupak;Malformasi kongenital, deformasi dan kelainan chromosom;0;35;3;1;1;2;2;4;0;1;1
Surabaya Utara;Krembangan;Puskesmas Dupak;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;100;127;283;57;111;158;159;185;189;201;155
Surabaya Utara;Krembangan;Puskesmas Dupak;Keracunan, cedera dan beberapa penyebab yang dari luar;67;477;190;49;51;70;70;76;75;74;83
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyebab morbiditas dan kematian eksternal;3;498;11;5;4;5;1;5;9;0;9
Surabaya Utara;Krembangan;Puskesmas Dupak;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;196;84;595;79;169;217;178;146;142;141;156
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit Infeksi dan parasit;93;162;225;32;56;59;53;48;59;53;50
Surabaya Timur;Tambaksari;Puskesmas Gading;Neoplasma;0;47;1;0;0;3;0;0;6;1;4
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0;0;0;0;1;1;0;1;0;1;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Endokrin, nutrisi dan gangguan metabolik;41;82;88;16;27;12;17;19;26;18;3
Surabaya Timur;Tambaksari;Puskesmas Gading;Gangguan jiwa dan perilaku;0;45;4;0;0;1;1;1;5;0;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit yang mengenai sistem syaraf;7;487;11;1;3;2;0;3;10;2;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit mata dan adnexa;140;131;338;51;113;76;104;77;101;85;81
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit telinga dan mastoid;12;12;40;7;16;18;10;10;21;11;6
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem sirkulasi;65;2;144;16;39;41;16;7;32;12;18
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pernafasan;247;56;726;137;199;214;189;241;268;231;221
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pencernaan;333;12;975;282;448;389;396;351;374;444;457
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada kulit dan jaringan subcutaneous;58;16;156;35;50;63;45;45;47;62;58
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem musculoskletal;50;72;138;19;40;44;26;27;59;18;19
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem saluran kemih dan genital;5;56;10;5;8;8;6;4;16;10;9
Surabaya Timur;Tambaksari;Puskesmas Gading;Kehamilan dan kelahiran;1;48;6;2;2;0;2;1;1;1;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Keadaan yang berasal dari periode perinatal;3;702;4;0;2;1;2;2;1;2;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Malformasi kongenital, deformasi dan kelainan chromosom;3;395;3;1;1;0;0;0;2;0;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;154;140;417;70;118;193;204;143;118;123;136
Surabaya Timur;Tambaksari;Puskesmas Gading;Keracunan, cedera dan beberapa penyebab yang dari luar;6;163;17;2;5;10;5;5;17;5;6
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyebab morbiditas dan kematian eksternal;3;21;9;0;3;2;5;0;2;5;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;726;0;1.948;378;904;1.049;714;576;370;440;500
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit Infeksi dan parasit;144;118;391;104;185;135;149;123;143;164;149
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Neoplasma;25;36;62;11;24;24;27;23;19;25;21
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5;431;9;1;6;2;4;5;1;4;3
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Endokrin, nutrisi dan gangguan metabolik;142;119;371;75;147;140;121;121;129;146;101
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gangguan jiwa dan perilaku;24;14;57;14;17;10;22;21;13;17;17
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit yang mengenai sistem syaraf;22;1;88;22;29;15;17;27;19;23;14
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit mata dan adnexa;52;57;124;39;47;39;31;46;34;27;32
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit telinga dan mastoid;44;26;124;33;88;58;64;40;34;59;42
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem sirkulasi;168;13;429;103;175;157;172;161;147;180;141
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pernafasan;411;118;1.398;463;602;455;505;727;786;589;456
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pencernaan;573;34;1.535;360;482;359;444;404;366;399;417
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada kulit dan jaringan subcutaneous;89;87;276;74;135;110;153;135;102;133;129
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem musculoskletal;198;471;526;114;228;176;203;223;191;214;227
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem saluran kemih dan genital;65;450;152;28;49;29;54;56;51;55;30
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Kehamilan dan kelahiran;54;100;136;58;63;32;40;41;50;17;31
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keadaan yang berasal dari periode perinatal;3;233;4;3;3;1;3;3;1;3;0
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Malformasi kongenital, deformasi dan kelainan chromosom;1;38;1;0;4;5;4;1;1;2;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;118;3;318;85;149;118;132;136;166;140;161
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keracunan, cedera dan beberapa penyebab yang dari luar;66;112;149;42;45;41;54;74;62;34;60
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyebab morbiditas dan kematian eksternal;1;43;8;0;1;1;3;2;2;0;3
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;636;531;1.454;350;528;501;540;685;701;646;938
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit Infeksi dan parasit;139;231;421;113;129;112;106;131;143;187;152
Surabaya Pusat;Bubutan;Puskesmas Gundih;Neoplasma;17;23;40;15;13;11;8;14;6;7;10
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2;10;4;0;1;0;0;0;0;3;6
Surabaya Pusat;Bubutan;Puskesmas Gundih;Endokrin, nutrisi dan gangguan metabolik;77;148;186;44;68;69;37;66;69;62;67
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gangguan jiwa dan perilaku;15;19;36;8;7;13;31;27;14;15;16
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit yang mengenai sistem syaraf;18;39;55;6;16;17;16;13;19;26;11
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit mata dan adnexa;64;32;224;65;86;88;86;68;77;81;77
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit telinga dan mastoid;41;93;141;32;55;64;47;34;26;41;38
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem sirkulasi;51;216;151;37;55;43;39;47;44;39;35
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pernafasan;760;717;2.253;628;768;567;634;820;912;769;537
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pencernaan;404;721;1.215;256;489;404;428;400;403;461;416
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada kulit dan jaringan subcutaneous;164;142;437;101;135;118;139;116;119;128;147
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem musculoskletal;156;270;482;120;181;117;114;124;160;180;190
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem saluran kemih dan genital;20;68;62;12;23;18;21;18;25;15;20
Surabaya Pusat;Bubutan;Puskesmas Gundih;Kehamilan dan kelahiran;58;3;207;63;94;84;60;55;47;83;60
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keadaan yang berasal dari periode perinatal;3;90;4;0;0;1;2;3;0;1;2
Surabaya Pusat;Bubutan;Puskesmas Gundih;Malformasi kongenital, deformasi dan kelainan chromosom;2;104;2;0;2;1;0;1;0;2;0
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;95;755;363;92;98;103;107;91;106;115;187
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keracunan, cedera dan beberapa penyebab yang dari luar;43;107;125;27;29;28;31;34;27;39;37
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyebab morbiditas dan kematian eksternal;0;14;4;1;1;0;0;0;0;0;3
Surabaya Pusat;Bubutan;Puskesmas Gundih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;309;0;1.046;228;381;354;383;289;321;321;327
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit Infeksi dan parasit;129;111;382;116;127;140;153;132;174;158;168
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Neoplasma;16;18;46;10;12;10;13;15;10;19;13
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3;11;6;1;2;3;7;1;14;10;6
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Endokrin, nutrisi dan gangguan metabolik;82;39;217;43;78;65;83;106;80;87;88
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gangguan jiwa dan perilaku;24;35;68;12;29;19;14;17;31;16;12
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit yang mengenai sistem syaraf;29;22;54;7;13;27;11;17;21;18;14
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit mata dan adnexa;129;395;353;64;126;108;117;127;102;84;95
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit telinga dan mastoid;60;290;134;28;41;43;47;34;53;38;36
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem sirkulasi;93;57;283;47;121;129;99;124;144;148;146
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pernafasan;460;119;1.447;439;547;502;567;751;921;706;538
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pencernaan;434;27;1.396;258;509;461;442;469;461;555;545
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada kulit dan jaringan subcutaneous;106;1;307;92;118;112;130;115;113;123;156
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem musculoskletal;220;104;726;118;231;229;237;299;258;287;329
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem saluran kemih dan genital;27;59;101;24;31;26;36;40;48;45;54
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Kehamilan dan kelahiran;27;186;73;21;34;19;20;28;23;14;25
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keadaan yang berasal dari periode perinatal;24;75;75;19;27;17;20;20;18;16;12
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Malformasi kongenital, deformasi dan kelainan chromosom;1;6;7;2;1;2;1;0;3;2;4
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;97;4;330;76;125;154;134;140;185;193;218
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keracunan, cedera dan beberapa penyebab yang dari luar;25;41;119;40;62;61;59;66;58;74;100
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyebab morbiditas dan kematian eksternal;3;15;10;1;2;10;8;6;15;7;4
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;540;10;1.585;390;747;687;825;585;629;687;723
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit Infeksi dan parasit;279;58;713;152;230;248;249;232;227;234;228
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Neoplasma;20;29;68;23;21;26;25;42;18;43;33
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;13;53;32;1;8;1;7;2;1;1;7
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Endokrin, nutrisi dan gangguan metabolik;278;275;575;106;192;139;150;136;169;202;236
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gangguan jiwa dan perilaku;46;358;89;14;13;16;23;19;19;29;21
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit yang mengenai sistem syaraf;47;85;138;32;40;47;40;47;41;39;45
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit mata dan adnexa;42;103;117;35;47;40;34;35;42;53;38
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit telinga dan mastoid;82;25;256;49;84;47;70;93;67;73;62
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem sirkulasi;272;3;715;137;251;232;240;258;250;277;231
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pernafasan;687;140;2.018;481;667;532;627;783;619;737;493
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pencernaan;755;25;2.362;557;836;828;942;1.010;869;957;975
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada kulit dan jaringan subcutaneous;196;277;471;91;137;134;172;143;118;145;163
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem musculoskletal;319;104;817;145;230;231;254;253;200;234;214
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem saluran kemih dan genital;66;15;197;45;53;44;42;54;41;53;51
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Kehamilan dan kelahiran;48;0;135;42;39;41;41;38;30;37;30
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keadaan yang berasal dari periode perinatal;18;30;42;20;20;32;31;38;19;22;26
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Malformasi kongenital, deformasi dan kelainan chromosom;3;2;7;0;2;3;0;2;2;1;1
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;126;6;357;108;145;92;116;107;84;138;144
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keracunan, cedera dan beberapa penyebab yang dari luar;114;174;279;55;100;62;109;96;53;78;71
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyebab morbiditas dan kematian eksternal;3;38;6;2;3;3;2;4;2;1;1
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;847;77;2.325;414;702;827;688;720;641;695;817
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit Infeksi dan parasit;102;416;331;75;90;114;58;67;72;86;73
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Neoplasma;13;249;34;7;15;9;6;8;8;7;10
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3;80;6;1;3;1;0;0;2;1;3
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Endokrin, nutrisi dan gangguan metabolik;112;149;270;50;125;98;102;60;58;72;97
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gangguan jiwa dan perilaku;10;20;33;9;20;9;9;3;5;4;1
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit yang mengenai sistem syaraf;12;2;37;2;7;10;4;5;2;4;7
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit mata dan adnexa;51;107;131;33;51;40;65;35;44;63;50
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit telinga dan mastoid;39;24;114;32;32;23;24;25;36;52;33
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem sirkulasi;33;394;82;26;38;39;36;54;36;44;30
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pernafasan;372;253;1.166;358;367;320;218;274;350;290;190
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pencernaan;261;37;824;217;337;243;232;258;255;267;279
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada kulit dan jaringan subcutaneous;48;8;158;36;52;72;49;34;31;41;54
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem musculoskletal;108;309;346;57;137;127;95;96;85;84;84
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem saluran kemih dan genital;25;67;78;15;30;15;24;11;23;30;25
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Kehamilan dan kelahiran;9;83;31;8;12;7;7;8;3;14;3
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keadaan yang berasal dari periode perinatal;2;29;2;0;2;2;1;1;0;3;3
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Malformasi kongenital, deformasi dan kelainan chromosom;0;87;2;1;0;3;2;0;3;2;2
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;81;413;263;55;94;89;61;40;36;52;51
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keracunan, cedera dan beberapa penyebab yang dari luar;74;747;199;41;60;59;42;41;29;49;39
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyebab morbiditas dan kematian eksternal;0;673;2;0;1;0;0;0;0;2;0
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;300;175;679;193;279;242;296;342;290;303;239
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit Infeksi dan parasit;90;332;257;62;67;90;106;112;78;83;111
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Neoplasma;12;86;23;4;20;12;9;13;11;17;14
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8;3;14;3;2;1;4;5;2;5;2
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Endokrin, nutrisi dan gangguan metabolik;55;165;128;38;51;35;38;22;17;35;52
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gangguan jiwa dan perilaku;18;76;47;11;10;13;28;20;6;16;13
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit yang mengenai sistem syaraf;3;917;20;6;10;6;8;6;5;7;3
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit mata dan adnexa;40;64;152;29;84;77;82;81;87;108;69
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit telinga dan mastoid;22;7;72;22;26;23;26;24;25;28;49
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem sirkulasi;68;3;185;35;72;61;67;53;52;53;70
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pernafasan;261;73;876;211;301;286;293;399;411;423;416
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pencernaan;365;16;1.152;248;468;388;432;406;370;395;400
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada kulit dan jaringan subcutaneous;102;9;278;67;109;93;112;102;86;107;160
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem musculoskletal;123;89;348;100;132;148;142;117;120;144;233
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem saluran kemih dan genital;24;11;73;13;35;19;26;29;26;34;38
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Kehamilan dan kelahiran;1;50;6;2;3;6;1;2;6;3;5
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keadaan yang berasal dari periode perinatal;3;386;7;2;2;1;0;1;1;4;2
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Malformasi kongenital, deformasi dan kelainan chromosom;0;357;5;0;0;0;2;2;1;4;5
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;125;62;396;100;145;109;145;97;110;125;118
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keracunan, cedera dan beberapa penyebab yang dari luar;20;103;73;23;20;32;17;29;34;47;24
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyebab morbiditas dan kematian eksternal;1;24;1;0;1;1;2;4;1;2;0
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;291;0;842;146;274;294;313;256;245;385;216
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit Infeksi dan parasit;91;38;302;101;126;111;131;127;131;127;118
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Neoplasma;13;12;46;9;14;11;23;19;29;34;13
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3;398;6;2;5;2;9;4;5;5;5
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Endokrin, nutrisi dan gangguan metabolik;53;165;111;16;86;80;117;92;91;126;94
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gangguan jiwa dan perilaku;4;17;14;9;5;11;13;13;9;15;3
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit yang mengenai sistem syaraf;5;5;20;1;19;21;25;38;22;39;21
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit mata dan adnexa;254;101;641;166;191;133;212;175;156;162;155
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit telinga dan mastoid;24;8;111;21;62;43;48;56;37;60;63
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem sirkulasi;63;60;191;22;101;97;132;122;138;164;67
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pernafasan;339;140;1.202;362;516;469;486;732;831;607;420
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pencernaan;336;65;888;197;352;357;390;359;363;414;382
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada kulit dan jaringan subcutaneous;82;132;269;72;119;87;116;129;130;154;166
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem musculoskletal;134;601;476;107;187;203;214;198;208;236;184
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem saluran kemih dan genital;31;337;82;16;33;36;57;42;43;55;48
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Kehamilan dan kelahiran;5;115;10;4;10;5;6;6;5;7;10
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keadaan yang berasal dari periode perinatal;3;234;15;6;8;4;8;0;8;12;4
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Malformasi kongenital, deformasi dan kelainan chromosom;2;43;9;2;1;1;2;2;2;8;3
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;114;0;371;117;174;160;136;155;174;162;147
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keracunan, cedera dan beberapa penyebab yang dari luar;27;129;80;16;58;44;63;64;53;58;60
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyebab morbiditas dan kematian eksternal;1;58;6;3;2;3;0;0;1;2;5
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;434;254;1.266;290;400;363;367;366;338;458;370
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit Infeksi dan parasit;245;298;731;215;243;222;300;265;241;265;243
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Neoplasma;59;22;134;28;35;22;27;27;12;19;33
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1;7;12;4;6;4;3;10;1;10;5
